names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country,year,imdb
Ant-Man and the Wasp: Quantumania,2023-02-16,63.0,"Science Fiction,Adventure,Action","Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.","BillMurray,CassieLang,CoreyStoll,Dr.HankPym,EvangelineLilly,HopevanDyne/TheWasp,JanetvanDyne,JonathanMajors,KangtheConqueror,KathrynNewton,LordKrylar,M.O.D.O.K.,MichaelDouglas,MichellePfeiffer,PaulRudd,Quaz,ScottLang/Ant-Man,WilliamJacksonHarper",Ant-Man and the Wasp: Quantumania,Released,English,200000000.0,466001332.0,AU,2023,6.3
Sayen,2023-03-03,62.0,"Thriller,Action","Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.","AlejandroTrejo,AntonioTorres,ArónPiper,Bykov,CamiloArancibia,EduardoPaxeco,EnriqueArce,Ilwen,José,Lira,LoretoAravena,Miranda,MáximoTorres,RallénMontenegro,RobertoGarcíaRuiz,Rubén,Sayen,TeresaRamos",Sayen,Released,"Spanish,Castilian",73800000.0,370426090.8,CL,2023,6.2
Die Hart,2023-02-24,62.0,"Action,Comedy,Thriller","Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.","BrandonQuinn,ClaudeVanDeVelde,DannyMorrison,Diego,JeanReno,JohnTravolta,JordanKing,Josh,JoshHartnett,JoshuaLamboy,KennethTrujillo,KevinHart,Leah,MilanaVayntrub,NathalieEmmanuel,Ortiz,RonWilcox",Die Hart,Released,English,113000000.0,369995579.2,US,2023,6.2
13 Exorcisms,2022-11-04,55.0,"Drama,Horror","After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.","Asunción,Carmen,CristinaCastaño,DanielArias,DanielaBini,Enrique,Jesús,JoséSacristán,Laura,Lola,MaríaRomanillos,NiñaDemonio,PabloRevuelta,PadreOlmedo,RuthDíaz,SilmaLópez,Tomás,UrkoOlazábal", 13 exorcismos,Released,"Spanish,Castilian",2480000.0,1891519.0,ES,2022,5.5
H.P. Lovecraft's Witch House,2022-06-29,60.0,Horror,"Determined to prove the possibility of alternate dimensions, a graduate student unknowingly unlocks a gateway to unimaginable horror. Based on the H.P. Lovecraft's short story The Dreams in the Witch House.",",Alice,AndreaCollins,BillLevin,BrownJenkin,ErinTrimble,Joe,JoePadgett,JohnJohnson,JulieAnnePrescott,Kelly,KeziahMason,PortiaChellelynn,ProfessorSherfick,ShondaLaverty,SolonTsangaras,Tommi,Vespuli",H.P. Lovecraft's Witch House,Released,English,146740000.0,301123555.2,US,2022,6.0
John Wick: Chapter 2,2017-05-18,73.0,"Action,Thriller,Crime","John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.","AbramTarasov,Ares,BoweryKing,BridgetMoynahan,Cassian,Charon,Common,HelenWick,IanMcShane,JohnWick,KeanuReeves,LanceReddick,LaurenceFishburne,PeterStormare,RiccardoScamarcio,RubyRose,SantinoD'Antonio,Winston",John Wick: Chapter 2,Released,English,40000000.0,171539887.0,AU,2017,7.3
Sick,2022-09-24,63.0,"Horror,Thriller","In the midst of the pandemic, college student Parker and her best friend Miri decide to self-quarantine at her family's lake house, where they will be alone — or so they think.","Benji,BethlehemMillion,ChrisReid,DJ,DuaneStephens,DylanSprayberry,GideonAdlon,JaneAdams,Jason,Jeb,JoelCourtney,LoganMurphy,MarcMenchaca,Miri,Mr.Lyons,Pamela,Parker,Tyler",Sick,Released,English,81800000.0,408307377.8,US,2022,6.3
Black Warrant,2023-03-01,54.0,"Action,Thriller",A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,"Anthony,CamGigandet,CapitanEscalante,Carmen,JeffFahey,JonathanAvigdori,LaRusso,NickFalconi,RafaelCabrera,Rashida,RodrigoAbed,Sadiq,SaraSeyed,TomBerenger,TonantzinEsparza,Zico",Black Warrant,Released,English,116000000.0,378399280.8,AU,2023,5.4
Shotgun Wedding,2023-01-26,63.0,"Action,Comedy,Romance","Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.","Carol,CheechMarin,D'ArcyCarden,Darcy,DesminBorges,Harriet,JenniferCoolidge,JenniferLopez,JoshDuhamel,LennyKravitz,Marge,Renata,Ricky,Robert,Sean,SelenaTan,SôniaBraga,Tom",Shotgun Wedding,Released,English,16050000.0,4495365.0,AU,2023,6.3
John Wick: Chapter 3 - Parabellum,2019-05-16,74.0,"Action,Thriller,Crime","Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.","Adjudicator,AnjelicaHuston,AsiaKateDillon,BoweryKing,Charon,Director,Earl,HalleBerry,IanMcShane,JohnWick,KeanuReeves,LanceReddick,LaurenceFishburne,MarkDacascos,Sofia,TobiasSegal,Winston,Zero",John Wick: Chapter 3 - Parabellum,Released,English,55000000.0,326709727.0,AU,2019,7.4
